Counter,Profile Title,Profile ID,Rule ID,Selected,Value Title,Value,Value Description
1,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled,True,,,
2,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled,True,,,
3,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled,True,,,
4,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.2_Ensure_tmp_is_configured,True,,,
5,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition,True,,,
6,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition,True,,,
7,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.5_Ensure_noexec_option_set_on_tmp_partition,True,,,
8,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nodev_option_set_on_vartmp_partition,True,,,
9,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_nosuid_option_set_on_vartmp_partition,True,,,
10,Level 1 - Server,xccdf_org.cisecurity.benchmarks_profile_Level_1_-_Server,xccdf_org.cisecurity.benchmarks_rule_1.1.10_Ensure_noexec_option_set_on_vartmp_partition,True,,,
