Title,Rule ID,Group ID
Ensure mounting of cramfs filesystems is disabled,xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure mounting of vFAT filesystems is limited,xccdf_org.cisecurity.benchmarks_rule_1.1.1.2_Ensure_mounting_of_vFAT_filesystems_is_limited,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure mounting of squashfs filesystems is disabled,xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure mounting of udf filesystems is disabled,xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure /tmp is configured,xccdf_org.cisecurity.benchmarks_rule_1.1.2_Ensure_tmp_is_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nodev option set on /tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nosuid option set on /tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure noexec option set on /tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.5_Ensure_noexec_option_set_on_tmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure separate partition exists for /var,xccdf_org.cisecurity.benchmarks_rule_1.1.6_Ensure_separate_partition_exists_for_var,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure separate partition exists for /var/tmp,xccdf_org.cisecurity.benchmarks_rule_1.1.7_Ensure_separate_partition_exists_for_vartmp,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nodev option set on /var/tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nodev_option_set_on_vartmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nosuid option set on /var/tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_nosuid_option_set_on_vartmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure noexec option set on /var/tmp partition,xccdf_org.cisecurity.benchmarks_rule_1.1.10_Ensure_noexec_option_set_on_vartmp_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure separate partition exists for /var/log,xccdf_org.cisecurity.benchmarks_rule_1.1.11_Ensure_separate_partition_exists_for_varlog,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure separate partition exists for /var/log/audit,xccdf_org.cisecurity.benchmarks_rule_1.1.12_Ensure_separate_partition_exists_for_varlogaudit,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure separate partition exists for /home,xccdf_org.cisecurity.benchmarks_rule_1.1.13_Ensure_separate_partition_exists_for_home,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nodev option set on /home partition,xccdf_org.cisecurity.benchmarks_rule_1.1.14_Ensure_nodev_option_set_on_home_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nodev option set on /dev/shm partition,xccdf_org.cisecurity.benchmarks_rule_1.1.15_Ensure_nodev_option_set_on_devshm_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nosuid option set on /dev/shm partition,xccdf_org.cisecurity.benchmarks_rule_1.1.16_Ensure_nosuid_option_set_on_devshm_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure noexec option set on /dev/shm partition,xccdf_org.cisecurity.benchmarks_rule_1.1.17_Ensure_noexec_option_set_on_devshm_partition,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nodev option set on removable media partitions,xccdf_org.cisecurity.benchmarks_rule_1.1.18_Ensure_nodev_option_set_on_removable_media_partitions,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure nosuid option set on removable media partitions,xccdf_org.cisecurity.benchmarks_rule_1.1.19_Ensure_nosuid_option_set_on_removable_media_partitions,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure noexec option set on removable media partitions,xccdf_org.cisecurity.benchmarks_rule_1.1.20_Ensure_noexec_option_set_on_removable_media_partitions,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure sticky bit is set on all world-writable directories,xccdf_org.cisecurity.benchmarks_rule_1.1.21_Ensure_sticky_bit_is_set_on_all_world-writable_directories,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Disable Automounting,xccdf_org.cisecurity.benchmarks_rule_1.1.22_Disable_Automounting,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Disable USB Storage,xccdf_org.cisecurity.benchmarks_rule_1.1.23_Disable_USB_Storage,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure Red Hat Subscription Manager connection is configured,xccdf_org.cisecurity.benchmarks_rule_1.2.1_Ensure_Red_Hat_Subscription_Manager_connection_is_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Disable the rhnsd Daemon,xccdf_org.cisecurity.benchmarks_rule_1.2.2_Disable_the_rhnsd_Daemon,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure GPG keys are configured,xccdf_org.cisecurity.benchmarks_rule_1.2.3_Ensure_GPG_keys_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure gpgcheck is globally activated,xccdf_org.cisecurity.benchmarks_rule_1.2.4_Ensure_gpgcheck_is_globally_activated,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure package manager repositories are configured,xccdf_org.cisecurity.benchmarks_rule_1.2.5_Ensure_package_manager_repositories_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure sudo is installed,xccdf_org.cisecurity.benchmarks_rule_1.3.1_Ensure_sudo_is_installed,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure sudo commands use pty,xccdf_org.cisecurity.benchmarks_rule_1.3.2_Ensure_sudo_commands_use_pty,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure sudo log file exists,xccdf_org.cisecurity.benchmarks_rule_1.3.3_Ensure_sudo_log_file_exists,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure AIDE is installed,xccdf_org.cisecurity.benchmarks_rule_1.4.1_Ensure_AIDE_is_installed,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure filesystem integrity is regularly checked,xccdf_org.cisecurity.benchmarks_rule_1.4.2_Ensure_filesystem_integrity_is_regularly_checked,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure permissions on bootloader config are configured,xccdf_org.cisecurity.benchmarks_rule_1.5.1_Ensure_permissions_on_bootloader_config_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure bootloader password is set,xccdf_org.cisecurity.benchmarks_rule_1.5.2_Ensure_bootloader_password_is_set,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure authentication required for single user mode,xccdf_org.cisecurity.benchmarks_rule_1.5.3_Ensure_authentication_required_for_single_user_mode,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure core dumps are restricted,xccdf_org.cisecurity.benchmarks_rule_1.6.1_Ensure_core_dumps_are_restricted,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure address space layout randomization (ASLR) is enabled,xccdf_org.cisecurity.benchmarks_rule_1.6.2_Ensure_address_space_layout_randomization_ASLR_is_enabled,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure SELinux is installed,xccdf_org.cisecurity.benchmarks_rule_1.7.1.1_Ensure_SELinux_is_installed,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure SELinux is not disabled in bootloader configuration,xccdf_org.cisecurity.benchmarks_rule_1.7.1.2_Ensure_SELinux_is_not_disabled_in_bootloader_configuration,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure SELinux policy is configured,xccdf_org.cisecurity.benchmarks_rule_1.7.1.3_Ensure_SELinux_policy_is_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure the SELinux state is enforcing,xccdf_org.cisecurity.benchmarks_rule_1.7.1.4_Ensure_the_SELinux_state_is_enforcing,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure no unconfined services exist,xccdf_org.cisecurity.benchmarks_rule_1.7.1.5_Ensure_no_unconfined_services_exist,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure SETroubleshoot is not installed,xccdf_org.cisecurity.benchmarks_rule_1.7.1.6_Ensure_SETroubleshoot_is_not_installed,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure the MCS Translation Service (mcstrans) is not installed,xccdf_org.cisecurity.benchmarks_rule_1.7.1.7_Ensure_the_MCS_Translation_Service_mcstrans_is_not_installed,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure message of the day is configured properly,xccdf_org.cisecurity.benchmarks_rule_1.8.1.1_Ensure_message_of_the_day_is_configured_properly,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure local login warning banner is configured properly,xccdf_org.cisecurity.benchmarks_rule_1.8.1.2_Ensure_local_login_warning_banner_is_configured_properly,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure remote login warning banner is configured properly,xccdf_org.cisecurity.benchmarks_rule_1.8.1.3_Ensure_remote_login_warning_banner_is_configured_properly,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure permissions on /etc/motd are configured,xccdf_org.cisecurity.benchmarks_rule_1.8.1.4_Ensure_permissions_on_etcmotd_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure permissions on /etc/issue are configured,xccdf_org.cisecurity.benchmarks_rule_1.8.1.5_Ensure_permissions_on_etcissue_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure permissions on /etc/issue.net are configured,xccdf_org.cisecurity.benchmarks_rule_1.8.1.6_Ensure_permissions_on_etcissue.net_are_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
Ensure GDM login banner is configured,xccdf_org.cisecurity.benchmarks_rule_1.8.2_Ensure_GDM_login_banner_is_configured,xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup
