Counter;Title;Rule ID;Group ID;Profiles
1;Ensure mounting of cramfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
2;Ensure mounting of squashfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
3;Ensure mounting of udf filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
4;Ensure /tmp is configured;xccdf_org.cisecurity.benchmarks_rule_1.1.2_Ensure_tmp_is_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
5;Ensure nodev option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
6;Ensure nosuid option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
7;Ensure noexec option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.5_Ensure_noexec_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
8;Ensure nodev option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nodev_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
9;Ensure nosuid option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_nosuid_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
10;Ensure noexec option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.10_Ensure_noexec_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
11;Ensure nodev option set on /home partition;xccdf_org.cisecurity.benchmarks_rule_1.1.14_Ensure_nodev_option_set_on_home_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
12;Ensure nodev option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.15_Ensure_nodev_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
13;Ensure nosuid option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.16_Ensure_nosuid_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
14;Ensure noexec option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.17_Ensure_noexec_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation
