Title;Rule ID;Group ID;Profiles;Value
Ensure mounting of cramfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure mounting of vFAT filesystems is limited;xccdf_org.cisecurity.benchmarks_rule_1.1.1.2_Ensure_mounting_of_vFAT_filesystems_is_limited;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure mounting of squashfs filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_squashfs_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure mounting of udf filesystems is disabled;xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_udf_filesystems_is_disabled;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure /tmp is configured;xccdf_org.cisecurity.benchmarks_rule_1.1.2_Ensure_tmp_is_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nodev option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nosuid option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure noexec option set on /tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.5_Ensure_noexec_option_set_on_tmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure separate partition exists for /var;xccdf_org.cisecurity.benchmarks_rule_1.1.6_Ensure_separate_partition_exists_for_var;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure separate partition exists for /var/tmp;xccdf_org.cisecurity.benchmarks_rule_1.1.7_Ensure_separate_partition_exists_for_vartmp;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure nodev option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nodev_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nosuid option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_nosuid_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure noexec option set on /var/tmp partition;xccdf_org.cisecurity.benchmarks_rule_1.1.10_Ensure_noexec_option_set_on_vartmp_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure separate partition exists for /var/log;xccdf_org.cisecurity.benchmarks_rule_1.1.11_Ensure_separate_partition_exists_for_varlog;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure separate partition exists for /var/log/audit;xccdf_org.cisecurity.benchmarks_rule_1.1.12_Ensure_separate_partition_exists_for_varlogaudit;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure separate partition exists for /home;xccdf_org.cisecurity.benchmarks_rule_1.1.13_Ensure_separate_partition_exists_for_home;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 2 - Server, Level 2 - Workstation;
Ensure nodev option set on /home partition;xccdf_org.cisecurity.benchmarks_rule_1.1.14_Ensure_nodev_option_set_on_home_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nodev option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.15_Ensure_nodev_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nosuid option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.16_Ensure_nosuid_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure noexec option set on /dev/shm partition;xccdf_org.cisecurity.benchmarks_rule_1.1.17_Ensure_noexec_option_set_on_devshm_partition;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nodev option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.18_Ensure_nodev_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure nosuid option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.19_Ensure_nosuid_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure noexec option set on removable media partitions;xccdf_org.cisecurity.benchmarks_rule_1.1.20_Ensure_noexec_option_set_on_removable_media_partitions;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure sticky bit is set on all world-writable directories;xccdf_org.cisecurity.benchmarks_rule_1.1.21_Ensure_sticky_bit_is_set_on_all_world-writable_directories;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Disable Automounting;xccdf_org.cisecurity.benchmarks_rule_1.1.22_Disable_Automounting;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 2 - Workstation;enabled
Disable USB Storage;xccdf_org.cisecurity.benchmarks_rule_1.1.23_Disable_USB_Storage;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 2 - Workstation;
Ensure Red Hat Subscription Manager connection is configured;xccdf_org.cisecurity.benchmarks_rule_1.2.1_Ensure_Red_Hat_Subscription_Manager_connection_is_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Disable the rhnsd Daemon;xccdf_org.cisecurity.benchmarks_rule_1.2.2_Disable_the_rhnsd_Daemon;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure GPG keys are configured;xccdf_org.cisecurity.benchmarks_rule_1.2.3_Ensure_GPG_keys_are_configured;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
Ensure gpgcheck is globally activated;xccdf_org.cisecurity.benchmarks_rule_1.2.4_Ensure_gpgcheck_is_globally_activated;xccdf_org.cisecurity.benchmarks_group_1_Initial_Setup;Level 1 - Server, Level 2 - Server, Level 1 - Workstation, Level 2 - Workstation;
